일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","55800","-700","-1.24","56200","56600","55700","8356767","467929804000","333113866290000","5969782550"
"2019/12/27","56500","1100","1.99","55700","56900","55500","12313056","692415134500","337292714075000","5969782550"
"2019/12/26","55400","400","0.73","54700","55400","54400","9645034","530104740900","330725953270000","5969782550"
"2019/12/24","55000","-500","-0.90","55600","55700","54800","11868463","655144129100","328338040250000","5969782550"
"2019/12/23","55500","-500","-0.89","56100","56400","55100","9839252","546622686828","331322931525000","5969782550"
"2019/12/20","56000","0","0.00","56100","56500","55600","12095519","677520520600","334307822800000","5969782550"
"2019/12/19","56000","-300","-0.53","57000","57300","55500","14180520","799290537431","334307822800000","5969782550"
"2019/12/18","56300","-400","-0.71","56700","57200","56000","15558208","878485590900","336098757565000","5969782550"
"2019/12/17","56700","2000","3.66","55800","56700","55400","19358433","1087303287900","338486670585000","5969782550"
"2019/12/16","54700","0","0.00","54500","54900","54300","11512405","630059638501","326547105485000","5969782550"
"2019/12/13","54700","1400","2.63","54500","54800","53900","18120261","987028214950","326547105485000","5969782550"
"2019/12/12","53300","1400","2.70","53000","53300","52700","29178697","1551714040400","318189409915000","5969782550"
"2019/12/11","51900","400","0.78","51500","52200","51400","11379521","589979802358","309831714345000","5969782550"
"2019/12/10","51500","300","0.59","51000","51600","50700","6882771","352659899000","307443801325000","5969782550"
"2019/12/09","51200","800","1.59","50900","51400","50700","8470627","432759572820","305652866560000","5969782550"
"2019/12/06","50400","900","1.82","50100","50900","49950","11414563","575969563191","300877040520000","5969782550"
"2019/12/05","49500","50","0.10","50200","50400","49500","10449715","520066824288","295504236225000","5969782550"
"2019/12/04","49450","-450","-0.90","49600","49850","49000","13246549","654934907032","295205747097500","5969782550"
"2019/12/03","49900","-500","-0.99","49800","50300","49500","12059812","602054578125","297892149245000","5969782550"
"2019/12/02","50400","100","0.20","50900","51300","50400","18877252","944328229958","300877040520000","5969782550"
"2019/11/29","50300","-1000","-1.95","51200","51400","50200","11179334","564595695520","300280062265000","5969782550"
"2019/11/28","51300","-900","-1.72","51900","52100","51300","6833885","353450137280","306249844815000","5969782550"
"2019/11/27","52200","400","0.77","51800","52300","51600","7546261","392691809100","311622649110000","5969782550"
"2019/11/26","51800","0","0.00","51900","52900","51800","27372226","1424278443400","309234736090000","5969782550"
"2019/11/25","51800","200","0.39","52200","52600","51700","9050625","472175585364","309234736090000","5969782550"
"2019/11/22","51600","600","1.18","51000","51600","50900","8478310","435737139400","308040779580000","5969782550"
"2019/11/21","51000","-1000","-1.92","51600","52100","50600","14298646","729351449095","304458910050000","5969782550"
"2019/11/20","52000","-1500","-2.80","53400","53400","52000","12560070","659160082100","310428692600000","5969782550"
"2019/11/19","53500","0","0.00","53200","53500","52700","8907177","473053167900","319383366425000","5969782550"
"2019/11/18","53500","-200","-0.37","53600","53800","53200","7746554","414198897643","319383366425000","5969782550"
"2019/11/15","53700","900","1.70","52900","53700","52600","9703360","518314735700","320577322935000","5969782550"
"2019/11/14","52800","300","0.57","51900","52800","51900","12010018","630539802800","315204518640000","5969782550"
"2019/11/13","52500","-100","-0.19","52500","52500","52000","6225196","325646010400","313413583875000","5969782550"
"2019/11/12","52600","1000","1.94","51800","52600","51600","6576148","342965962768","314010562130000","5969782550"
"2019/11/11","51600","-500","-0.96","52200","52200","51400","8185952","423836375400","308040779580000","5969782550"
"2019/11/08","52100","-800","-1.51","53200","53300","52000","11603290","610282480568","311025670855000","5969782550"
"2019/11/07","52900","-400","-0.75","53400","53400","52400","9257116","488509940000","315801496895000","5969782550"
"2019/11/06","53300","600","1.14","52900","53500","52700","14361133","762569938800","318189409915000","5969782550"
"2019/11/05","52700","400","0.76","52400","52700","52100","10581034","555449246731","314607540385000","5969782550"
"2019/11/04","52300","1100","2.15","51700","52300","51400","13012411","677400213024","312219627365000","5969782550"
"2019/11/01","51200","800","1.59","50600","51200","50400","8467846","422791080695","305652866560000","5969782550"
"2019/10/31","50400","0","0.00","51000","51400","50300","10304777","525166427240","300877040520000","5969782550"
"2019/10/30","50400","-700","-1.37","50700","50800","50200","8959435","452020459800","300877040520000","5969782550"
"2019/10/29","51100","-200","-0.39","51400","51700","50800","7581629","387754807400","305055888305000","5969782550"
"2019/10/28","51300","400","0.79","50700","51500","50700","6431522","329526364800","306249844815000","5969782550"
"2019/10/25","50900","200","0.39","50800","51200","50500","7879897","400781388215","303861931795000","5969782550"
"2019/10/24","50700","-500","-0.98","52500","52500","50500","21185785","1077416754960","302667975285000","5969782550"
"2019/10/23","51200","0","0.00","51300","51500","50800","8663880","443384578580","305652866560000","5969782550"
"2019/10/22","51200","900","1.79","50800","51500","50700","10898729","557128142700","305652866560000","5969782550"
"2019/10/21","50300","400","0.80","49900","50400","49800","4406531","220999176006","300280062265000","5969782550"
"2019/10/18","49900","-600","-1.19","50300","50900","49650","8483106","426947644700","297892149245000","5969782550"
"2019/10/17","50500","-200","-0.39","50500","50600","50100","6701380","337530648575","301474018775000","5969782550"
"2019/10/16","50700","600","1.20","50700","50900","50400","9136282","462745898500","302667975285000","5969782550"
"2019/10/15","50100","100","0.20","49900","50200","49900","6058105","303431646175","299086105755000","5969782550"
"2019/10/14","50000","850","1.73","50000","50300","49850","11130635","557617555504","298489127500000","5969782550"
"2019/10/11","49150","600","1.24","49000","49450","48800","7783275","382773784700","293414812332500","5969782550"
"2019/10/10","48550","-350","-0.72","48200","49200","48000","18639855","904488044211","289832942802500","5969782550"
"2019/10/08","48900","1150","2.41","47900","49000","47600","14239367","689495282584","291922366695000","5969782550"
"2019/10/07","47750","-250","-0.52","48350","48700","47650","7047273","338656459900","285057116762500","5969782550"
"2019/10/04","48000","400","0.84","47400","48650","47350","9331695","448302388700","286549562400000","5969782550"
"2019/10/02","47600","-1250","-2.56","48350","48400","47600","8382463","401924907550","284161649380000","5969782550"
"2019/10/01","48850","-200","-0.41","48900","49100","48650","6206035","303325772450","291623877567500","5969782550"
"2019/09/30","49050","650","1.34","48050","49250","47900","9497119","462639969057","292817834077500","5969782550"
